Hotels,Ratings,Price,Link,Descriptions
Hostal Operaramblas,"8,6",€ 280,https://www.booking.com/hotel/es/hostal-opera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=1947005_95144225_0_0_0&highlighted_blocks=1947005_95144225_0_0_0&matching_block_id=1947005_95144225_0_0_0&sr_pri_blocks=1947005_95144225_0_0_0__28002&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hostal Operaramblas se encuentra a menos de 100 metros de Las Ramblas y de la estación de metro Liceu. El establecimiento ofrece recepción abierta las 24 horas, conexión Wi-Fi gratuita y habitaciones con baño privado.

Las habitaciones del Operaramblas presentan una decoración sencilla y disponen de suelo de baldosa, calefacción y teléfono.

El establecimiento cuenta con máquina expendedora de bebidas. Además, la recepción vende aperitivos y tiene un ordenador con conexión a internet a disposición de los huéspedes.

El hostal está en un lugar fantástico del centro de Barcelona, a 5 minutos a pie del barrio Gótico, donde hay gran cantidad de cafeterías, bares y restaurantes. Además, el establecimiento Opera está a 500 metros de la catedral de la ciudad y a menos de 10 minutos a pie de Port Vell."
Hostal la Palmera,"8,6",€ 235,https://www.booking.com/hotel/es/hostal-la-palmera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=39517102_88499452_2_0_0&highlighted_blocks=39517102_88499452_2_0_0&matching_block_id=39517102_88499452_2_0_0&sr_pri_blocks=39517102_88499452_2_0_0__23472&from=searchresults#hotelTmpl,"Este hostal, de ambiente tranquilo, está situado detrás del mercado de La Boquería, a 100 metros de Las Ramblas. El hostal alberga una zona de WiFi gratuita y ofrece habitaciones luminosas y servicio de recepción las 24 horas del día.

Las habitaciones de La Palmera presentan una decoración elegante y tienen parquet flotante. También disponen de aire acondicionado, lavamanos y baño privado o compartido. El hostal proporciona toallas y ropa de cama.

El personal de recepción ofrece té, café y bebidas frías, por un suplemento. A menos de 2 minutos a pie hay numerosos bares, restaurantes y tiendas. La plaza Real se encuentra a 300 metros.

El Hostal la Palmera está situado a 5 minutos a pie de la catedral de Barcelona, en el Barrio Gótico. La Pedrera y la Casa Batlló de Gaudí se encuentran a 20 minutos a pie.

El Hostal la Palmera está situado a 2 minutos a pie de la estación de metro de Liceu. La plaza de Cataluña, donde tienen parada los autobuses directos con destino al aeropuerto de Barcelona-El Prat, se encuentra a 600 metros. El Port Vell está situado a 10 minutos a pie."
The Central House Barcelona Gracia,"8,8",€ 278,https://www.booking.com/hotel/es/rodama3n-barcelona-centre.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=57658001_88797809_0_2_0&highlighted_blocks=57658001_88797809_0_2_0&matching_block_id=57658001_88797809_0_2_0&sr_pri_blocks=57658001_88797809_0_2_0__27786&from=searchresults#hotelTmpl,"El TCH Barcelona Grácia está situado junto a los jardines del palacio Robert y a menos de 100 metros de la estación de metro Diagonal y del paseo de Gracia.

El TCH Barcelona Grácia ocupa un edificio del siglo XIX y tiene una decoración sencilla y moderna, así como una zona de estar y una cocina compartidas. Las habitaciones privadas y compartidas disponen de WiFi gratuita, literas, calefacción y baño privado o compartido.

Además, el establecimiento cuenta con una terraza bonita con sofás, plantas y cenador.

El Rodamón se encuentra a unos 5 minutos a pie de La Pedrera y del Museo Egipcio. A menos de 10 minutos a pie se hallan las cafeterías, los bares y los restaurantes del barrio de Gracia.

La plaza de Cataluña y Las Ramblas se sitúan a solo 2 paradas de la estación de metro Diagonal."
Renaissance Barcelona Hotel,"8,0",€ 853,https://www.booking.com/hotel/es/acdiplomatic.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9081118_93709090_0_34_0&highlighted_blocks=9081118_93709090_0_34_0&matching_block_id=9081118_93709090_0_34_0&sr_pri_blocks=9081118_93709090_0_34_0__85252&nad_id=e3090ae8-ccbf-4a61-b53d-2d76854b6069_0&nad_cpc=0.66&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZOa1hJVkluakhIQnQxeVBVRnBXWGJuRThhL0IxY1FEYkl6YTd6aDJyS3dkUDhkWk1QQXpCZGtZVDRqZTZsZ0FJSzVKdU9UeFowRHN4dndiL1BSQUdDZGhlbi9zbjlGM0Z4L2hNNHRFR0x5dkVPRzVuc1c5bHhlcWw3N0hUbzRBc1Vkb2d3cnR2RHB3T1E0YU0xbzFjWlhKcTlrTmN6Uk15SEMzSUxZSTNTUm5XVWJvb1RnMWN5YW1HMS9CeDFkVzJhRUFvRjRHYmFxVytEdGFubUpaL25mVHhGeUV1ck9sQjFtcFVIcENsNzFYcXVBaUZLeEVCUmh1bEZQa0RwbXpKZUNqRWFGZng5b3REYkFNeHArbzV2UUFyeGIxeXJHQW1YTUVTSlgzR2w2S2ttRkhCRkg5aUpoVVUvTHk1TlZyamRPR1RCSldHMjRYRUxxaUlKekRpbWFWOFIxL3FtN3Fsb2RDbzR0S2NzMnJuOGxiUWRFNXRZOFZKditDUy9VampwM0piYWwxK2wwOUlmb2FKSlVqWXpaK252MmR1YWE5YXAwZ1hPVmtrV1hmYXJPTTZncG1QY1pWOUptSERib0hSdlBZNGdhOVAzSlZhMmN4S0FrOUo3OXlPbkMxQ0I4NWFVY0V5b21wdzN3c1BIaUhaZjFpT2dBTEQwSU1FbE1zQWhDcXRnNFlnNlYwWTNJUk10Ym1TUnRNTUdjdWNLVkJTNnJ3Y3l5cmJEYlJPckFFbCt1aXpXZGYvejJvNmFzUjJuazgvdldrNmV2cGhXby9SY052amNQcnVMY3NLVmU2SjRtY2JXRUhSNXdtcitaKzRmUys4R05mWTFyU1o4WXVJRDVOS290TE8za2RIdjhIMElUVzRWVGRXRllQUENSdlJ1dkpVVEpNdVM0ak5EOFo0Qk5UWDVWa0wxaHJBM2ZLSTAvWTVBdFVvbEcvL0hFTnVkWEszL0tyUHUzaDRJNzJVaVFseko3MmF6MUZUWXdNYmsxTWJvN1hZZWxIVjdpdDl2eTBlQnZncVJpc3FYV1VMc2QwM3ZNbCs2eFA0bGxqMGQ5NTkrVlN0ampNWHFTRWkxZWpmMThCVkMzc3J3ZCtzeDVWZ2JSbVNjbUpmYm5wL1lWNmpaUSswN1pxbE9Wd096bzJiOHpFMmdaQjhNd012OU5xR255NjBUN1c3MUZLdzA2TjV3Z3ZiR3lvdEZJSWJML2M2aGZ5ZVhRZnpjM1pRWjVESWlsOWFYckxtbmhiWVMvWTBHYjlqdW1kN3JGNHVUMkNjdEl3c0ZESG13MkgyMUZJVTR4TXFVVzJNcExUb2NqejBFdHZDODcwMzczNEIvbTFmenZIN1RETEJzUmxJUnlRdFVYSkl4NVhTa1VzR2tUc1RCREZWME1WWktubkVtRFNXbkxuRjNlTzFPWjBCdGJkeG5QQk1QZWM2dUNlc1dHTmZveU1jUndoU0FpYWo1c1lvSUF5MXMzWnR6Z21WUTBKZXN0a2h1dlJObjRDclBJWTNyUjZ5NDJuL0RqbHJORGFPWEwvU01aNTNhNVRaTWIxcTZXYUl2S2QvK0dpNVJRbVZWQTQvZk5FSkFzT2ZobWdKRzVzYmd6L0dNV1orMkVuRnptMmIwd1NTaWRmMndINlFWdUJWOEtINzFTT1I2VmJ6a0ZEbzVrMmN2TC95SUxLaTVrSlFtUjU3b3hhNDN4TGVxRUhzaFFNRkpyOEQ5NzRpUzlWc1BkemlGSUp4QWNRaWFQb1FhdnFHbmJlcm0vOUczRSsvNU9ML2VmUmVveVlKTjluOXVTWmZ2cm0yUEszUFR4UCt2RXVJM010NGxQaHoxR3FhcGtvODhJem1PU0RyN0RZb05DYmlRZXVoWHkrVllvSEF1OWk0ZjVjOTJDOCtlZFhLM0lWR1MvKzNqbWdYc1VzSHpieHNmY0xSdUQ5bFA2RVNCN2M1eVovUWRzY2J3NStpaHpWMjZ3bnFZejlnZnlqWkJRMXdyNzJnY0xFN21xYm5RbTVtK0J6TVRsdjRSeVRreUIzMHA0Um9DYmdXN0cyU2RxSndqS1dFV0hrOFAwc3JQTnhLSXVFNXNMZHFLUjRCRVVtMzJHTnE3bWttQWFsVTVFZGE2SnFXWElqMkFQWU9VdVZVS3JMTGpoUkJXQWdLMXhLNTZRTTJjR3hEVUNIb3RGQVVNQk5vTWo2Ylh3N3RHMU83akJSejN2bnk0QVQ3OU5XdFp1dnRpMVczZFB0NmxZRCtsMTdES1B5TzhHdzVkbnpIREM3NCszUG8vcjJnZHZQQ0JCVDFEVXhjMndIVTVnelp1c3NaTFpTY1N5eitJVnVmZmJtMzU4V1J3Z2RVenZpVDFMcUxYeGowSVQxS0ZpeGc0c0xieHlJd2lqV1pvV0tGWFpoTjZpK3VYNUVwL1lRV3V1S3NVcDRMbWIrTTQ2R2pqYXZ4U2U1azc4eFBHVXA0MHFvTDBNWXVxYURtYklDMS9SaFY2WkNPT0dUaEhOSDJjSmhNVGdvVkloSUd5Sk1yMGo1K0o1RE1CeGs2QitZNEVCK2Y2VEVzUmhCb2U2aXJUblNzc3NhbFhVaDBySmFDUlh1Wm5sU3dwTHZoeVdqaklJNUJPTG9EcmZuMGxsYytsVXVpcHVDLzJoWm1DcmxPNThKdTdJNmg4RmlHb0NUaUZIakdNRXBVb0psV1RpNzQvR1ZSUFNLTExpbUdvMEdXRmpaVzl1Um01WVdVMXZGOHJ4a2ZlaC8reEp0cVBGc0ZxV3VWUHB3L0dUQVVTT2RST3owU1F6SHJwQzljRzlWd1ZYbzJETEQxMHpJeDJzaHdVV3RiVjI5RDh6aVVUa0F4K0V5VjFaZTM2K1QveEFoQTdSS3c2YmZMUVNkNUR2eGFLb1g2cllDVmd5NktMMjUwZUZ4TUN4N2E5b2NKSjNUN1E0VlpyTWIvNnVUZGxsYi91M0dleCt6Y3RyMlRHaC82NmtSM0RtZ0FsNTZhS2lUU2p0R1IxNWJWK1RLRHhKUG1yVGd4VVFtaXJWRFc2b3B2VGJNQ1BBbjVWRkdoeGpRZTdlQVlpRk02c012KzVDSWM3Q3locUhTalpHemVEQU9tanc0bXI4RlNHVHM0dkZ4bjFhaENyMVVDVFVlaWRORUdnRkgxUEtDbFAzeU4wMHBZcFBZT0F2SHhoNEJBS3FRTHh0K1dLaURMTHlIWlRleUpNdWxPNDkxRTYwVmlPWmN0RS8wd0VrRlFyRlVxZEZVTjZvQ0xTb3BEKzdwIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Renaissance Barcelona Hotel está situado en el centro de la ciudad, a pocos pasos del Passeig de Gràcia, el principal bulevar comercial, numerosos bares y restaurantes, lugares de interés y lugares de interés cultural.

Las elegantes habitaciones del Renaissance Barcelona Hotel han sido diseñadas imaginativamente para ofrecer un destino independiente, perfecto para relajarse y recargar después de un día explorando Barcelona.

Las habitaciones presentan una decoración exclusiva y elegante inspirada en Gaudí y cuentan con suelo de parqué, ropa de cama de lujo y baño de mármol con artículos de aseo exclusivos.

El elegante Rumbo Bar & Eatery del hotel sirve platos mediterráneos elaborados con productos locales. El bar sirve cócteles de autor, vinos y cerveza artesanal local. La azotea, Goja Rooftop es el lugar ideal para aprovechar el momento, socializar, disfrutar de deliciosa comida mediterránea, cócteles inventivos y una gran conversación.

El personal de la recepción puede ayudarle a reservar entradas para espectáculos y visitas guiadas, así como proporcionar información sobre qué ver y hacer en Barcelona.

La Casa Batlló y La Pedrera de Gaudí se encuentran a 10 minutos a pie del Renaissance Barcelona Hotel."
Catalonia Sagrada Familia,"8,2",€ 277,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__27652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto."
Ibis Barcelona Plaza Glòries 22@,"8,3",€ 245,https://www.booking.com/hotel/es/ibis-barcelona-pl-glories-22.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=27023205_376291401_2_34_0&highlighted_blocks=27023205_376291401_2_34_0&matching_block_id=27023205_376291401_2_34_0&sr_pri_blocks=27023205_376291401_2_34_0__24452&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Ibis Barcelona Plaza Glòries 22@ se encuentra en el distrito de Glòries de Barcelona, a 500 metros de la Torre Agbar. Ofrece centro de fitness, bar abierto las 24 horas y habitaciones insonorizadas con TV de pantalla plana.

Todas las habitaciones del Ibis Plaza Glòries ofrecen aire acondicionado y calefacción. También ofrecen baño privado con secador de pelo. Se ofrece wifi gratuita en todas las zonas.

El Hotel Ibis Plaza Glòries cuenta con un restaurante que sirve un desayuno bufé.

Las estaciones de metro de Llacuna y Glòries se encuentran a 5 minutos a pie del hotel. Desde aquí, se puede llegar a Plaza Catalunya o la playa de la Barceloneta en menos de 10 minutos."
Ronda House,"8,5",€ 319,https://www.booking.com/hotel/es/ronda.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9037902_193776506_2_1_0&highlighted_blocks=9037902_193776506_2_1_0&matching_block_id=9037902_193776506_2_1_0&sr_pri_blocks=9037902_193776506_2_1_0__31872&from=searchresults#hotelTmpl,"El Ronda House está situado junto a la Ronda Sant Antoni, a 10 minutos a pie de Las Ramblas. El hotel dispone de restaurante y habitaciones con TV vía satélite.

El Ronda presenta una decoración sencilla y luminosa. Las habitaciones incluyen aire acondicionado y baño privado completamente equipado.

En la cafetería del Ronda se sirve un desayuno buffet diario que incluye café y repostería. También hay un restaurante y un bar abierto hasta la 01:00.

El hotel se encuentra a solo 5 minutos a pie del Museo MACBA y a 200 metros de la estación de metro Sant Antoni, que enlaza con la Sagrada Familia y la Casa Batlló de Gaudí en menos de 15 minutos."
Hotel Glòries,"7,9",€ 233,https://www.booking.com/hotel/es/glories.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9144304_387058089_0_2_0&highlighted_blocks=9144304_387058089_0_2_0&matching_block_id=9144304_387058089_0_2_0&sr_pri_blocks=9144304_387058089_0_2_0__23324&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel moderno está situado a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Ofrece habitaciones con aire acondicionado, calefacción, TV vía satélite y conexión Wi-Fi gratuita.

La parada de metro Monumental se encuentra a tan solo 3 minutos a pie del Hotel Glòries y proporciona conexiones directas con la plaza Catalunya en unos 5 minutos.

El hotel es perfecto para visitar el distrito 22@ de la innovación y la torre Agbar. El teatro nacional de Catalunya y la sala de conciertos Auditori están a solo 400 metros.

El Hotel Glòries dispone de recepción las 24 horas y ofrece servicios de alquiler de coches y bicicletas, de cambio de divisa y de venta de entradas."
Pensión Coral,"7,8",€ 189,https://www.booking.com/hotel/es/pensia3n-coral.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=37982417_385848378_2_0_0&highlighted_blocks=37982417_385848378_2_0_0&matching_block_id=37982417_385848378_2_0_0&sr_pri_blocks=37982417_385848378_2_0_0__18852&from=searchresults#hotelTmpl,"Esta pensión se encuentra detrás de la plaza de Sant Jaume, en el barrio Gótico de Barcelona. El alojamiento está situado a solo 5 minutos a pie de la estación de metro Jaume I, la más cercana.

La Pensión Coral ofrece habitaciones con WiFi gratuita. Algunas habitaciones disponen de baño compartido. Todas ellas incluyen nevera, secador de pelo y artículos de aseo gratuitos.

Las habitaciones del Coral presentan una decoración sencilla y están equipadas con escritorio y armario. Algunas habitaciones también disponen de balcón con vistas a la calle.

La Pensión cuenta con máquinas expendedoras de aperitivos y bebidas.

En los alrededores hay numerosos bares y restaurantes. El alojamiento está ubicado a poca distancia de varios lugares de interés cultural. El Museo Picasso queda a 600 metros y la iglesia de Santa María del Mar está a 6 minutos a pie.

El establecimiento está en la 1.ª planta de un edificio sin ascensor.

El registro de entrada se puede efectuar de 08:00 a 22:00. No se puede hacer el registro de entrada después de las 22:00."
Travelodge Barcelona Poblenou,"7,3",€ 239,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=44478301_91474839_0_2_0&highlighted_blocks=44478301_91474839_0_2_0&matching_block_id=44478301_91474839_0_2_0&sr_pri_blocks=44478301_91474839_0_2_0__23928&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este moderno hotel cuenta con 250 amplias y completamente equipadas habitaciones, un Snack-Bar abierto las 24 horas donde los clientes pueden disfrutar de un desayuno buffet, así como comidas ligeras para el almuerzo y la cena. También dispone de máquinas expendedoras y parking privado de pago. Todas sus instalaciones están perfectamente adaptadas y accesibles para personas con movilidad reducida.
Es un hotel con WiFi de alta velocidad gratuito e ilimitado en las zonas comunes. También disponen de WiFi por un suplemento.
Travelodge Barcelona Poblenou es un hotel pet-friendly que estará encantado de ofrecerte a ti y a tu mascota la mejor experiencia.
Se encuentra en el tradicional barrio de Poblenou, dentro de calles llenas de restaurantes, bares y tiendas. Uno de los barrios con más encanto de la ciudad, ya 600 metros de la playa del Bogatell. Se puede llegar al centro de la ciudad de Barcelona en 10 minutos en metro y el Port Olímpic de Barcelona, con su vibrante vida nocturna, está a solo 20 minutos a pie.
Este es considerado el barrio más innovador de la ciudad. Está en pleno Distrito 22@ y concentra multitud de empresas tecnológicas y de I+D. Por tanto, gracias a su ubicación e instalaciones, también es un alojamiento perfecto para viajes de negocios.
Travelodge Barcelona Poblenou te ofrece todo lo que necesitas para tener la mejor experiencia en la ciudad de Barcelona."
Catalonia Avinyo,"8,5",€ 347,https://www.booking.com/hotel/es/avinyo.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9452608_195489180_0_2_0&highlighted_blocks=9452608_195489180_0_2_0&matching_block_id=9452608_195489180_0_2_0&sr_pri_blocks=9452608_195489180_0_2_0__34652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Avinyo está ubicado en el centro de Barcelona, a 200 metros de Las Ramblas, y cuenta con gimnasio y piscina en la azotea. Ofrece habitaciones elegantes con aire acondicionado, TV vía satélite y WiFi gratuita.

Las habitaciones presentan una decoración moderna y minimalista con fotografías de gran tamaño en las paredes. Incluyen minibar, caja fuerte y teléfono. Todas las habitaciones del hotel están equipadas con Smart TV con dispositivo Chromecast. El baño es moderno y tiene ducha y secador de pelo.

El Hotel Catalonia Avinyo se encuentra a 15 minutos a pie de la playa de la Barceloneta. Las estaciones de metro Liceu y Jaume I quedan a solo 300 metros. La catedral de Barcelona se halla a 4 minutos a pie.

El hotel Avinyo está situado en una zona céntrica, cerca de numerosas tiendas, bares y restaurantes. El personal del mostrador de información turística presta un servicio de alquiler de coches y bicicletas."
Ciutat Vella,"8,1",€ 337,https://www.booking.com/hotel/es/ciutat-vella.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4ApHr7q0GwAIB0gIkYWYxZDc2MTctZTA5ZC00ZDJhLWFmMzUtYTM1MjdmNDUyZTI02AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-18&checkout=2024-06-20&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=939a6b5898f703df&srepoch=1706800570&all_sr_blocks=9478616_275786791_0_2_0&highlighted_blocks=9478616_275786791_0_2_0&matching_block_id=9478616_275786791_0_2_0&sr_pri_blocks=9478616_275786791_0_2_0__33702&from=searchresults#hotelTmpl,"Este hotel boutique es elegante y ofrece habitaciones coloridas y modernas. Se encuentra en el centro histórico de la ciudad, a solo 4 minutos a pie de las Ramblas y la plaza de Catalunya. Cuenta con una bañera de hidromasaje en la azotea y una terraza.

El Ciutat Vella sirve café gratuito y dispone de un terminal con conexión a internet de uso gratuito. Además, hay conexión WiFi gratuita en todas las instalaciones.

Las habitaciones del Ciutat Vella cuentan con ventanales, TV de pantalla plana y baño moderno con ducha.

El Ciutat Vella está situado en el centro, ideal para visitar el corazón histórico de Barcelona. A menos de 10 minutos a pie encontrará numerosos bares, cafeterías y restaurantes. La estación de metro de Universitat está a 3 minutos."
